cod_manzana,municipio,dist_salud_m,score_salud,dist_educ_m,score_educacion,dist_via_m,score_via,dist_finca_m,en_finca,score_economia
0583720090700100010225,Turbo,808.0,0.7,1105.0,0.6,452.0,0.7,270.0,0,0.55
0583720090700100020210,Turbo,510.0,0.7,325.0,0.8,229.0,0.9,1021.0,0,0.35
0583720090700100020221,Turbo,594.0,0.7,320.0,0.8,74.0,1.0,866.0,0,0.55
0583720090700100020372,Turbo,829.0,0.7,734.0,0.6,466.0,0.7,1279.0,0,0.35
0583720090700100020423,Turbo,1033.0,0.5,854.0,0.6,379.0,0.7,1145.0,0,0.35
0583720100700200020403,Turbo,9543.0,0.05,266.0,1.0,268.0,0.9,809.0,0,0.55
0583720090600300010120,Turbo,7699.0,0.05,109.0,1.0,62.0,1.0,3320.0,0,0.15
0583720030700600010105,Turbo,15660.0,0.05,169.0,1.0,15913.0,0.05,12066.0,0,0.15
0583720090402400010101,Turbo,2937.0,0.25,1205.0,0.6,242.0,0.9,2284.0,0,0.35
0583720090602600010108,Turbo,4637.0,0.25,27.0,1.0,337.0,0.7,2254.0,0,0.35
0583720030803200010109,Turbo,11973.0,0.05,211.0,1.0,12238.0,0.05,8346.0,0,0.15
0583720010203800010102,Turbo,3298.0,0.25,2927.0,0.35,27534.0,0.05,36668.0,0,0.15
0505110000000000010331,Arboletes,367.0,0.85,358.0,0.8,84485.0,0.05,87182.0,0,0.15
0504520030101500010124,Apartadó,5027.0,0.05,553.0,0.8,528.0,0.7,1707.0,0,0.35
0504520010101400010115,Apartadó,11219.0,0.05,221.0,1.0,4115.0,0.2,1101.0,0,0.35
0505110000000000011106,Arboletes,641.0,0.7,630.0,0.8,84234.0,0.05,86969.0,0,0.15
0505120030101100010137,Arboletes,14643.0,0.05,14643.0,0.05,62521.0,0.05,66137.0,0,0.15
0514710000000000010715,Carepa,604.0,0.7,143.0,1.0,559.0,0.7,1414.0,0,0.35
0549010000000000010428,Necoclí,36777.0,0.05,295.0,1.0,37034.0,0.05,33164.0,0,0.15
0549020120600100010314,Necoclí,25774.0,0.05,999.0,0.6,26043.0,0.05,22135.0,0,0.15
0549010000000000010123,Necoclí,37618.0,0.05,356.0,0.8,37873.0,0.05,34007.0,0,0.15
0549020030300200010220,Necoclí,25317.0,0.05,15105.0,0.05,59806.0,0.05,56128.0,0,0.15
0565910000000000010219,San Juan de Urabá,328.0,0.85,328.0,0.8,73049.0,0.05,74023.0,0,0.15
0566510000000000010426,San Pedro de Urabá,921.0,0.7,474.0,0.8,29590.0,0.05,39163.0,0,0.15
0583720090700100010222,Turbo,470.0,0.85,786.0,0.6,623.0,0.7,587.0,0,0.55
0583720090600300010207,Turbo,7689.0,0.05,142.0,1.0,191.0,0.9,3453.0,0,0.15
0583720090600300010217,Turbo,7797.0,0.05,81.0,1.0,86.0,1.0,3556.0,0,0.15
0583720090600300010316,Turbo,7671.0,0.05,92.0,1.0,193.0,0.9,3786.0,0,0.15
0583720090600300010320,Turbo,7621.0,0.05,172.0,1.0,240.0,0.9,3699.0,0,0.15
0583720020101300010104,Turbo,15645.0,0.05,179.0,1.0,31371.0,0.05,38259.0,0,0.15
0583720090302300010111,Turbo,2395.0,0.25,445.0,0.8,772.0,0.7,3046.0,0,0.15
0583720090102700010102,Turbo,4617.0,0.25,255.0,1.0,3630.0,0.2,4052.0,0,0.15
0514710000000000010711,Carepa,612.0,0.7,254.0,1.0,442.0,0.7,1295.0,0,0.35
0514710000000000010732,Carepa,769.0,0.7,121.0,1.0,643.0,0.7,1341.0,0,0.35
0514710000000000030506,Carepa,278.0,0.85,657.0,0.8,83.0,1.0,1927.0,0,0.35
0514710000000000030517,Carepa,289.0,0.85,609.0,0.8,100.0,1.0,1883.0,0,0.35
0514710000000000030532,Carepa,444.0,0.85,563.0,0.8,291.0,0.9,1827.0,0,0.35
0514720010700700010106,Carepa,6180.0,0.05,2401.0,0.35,4990.0,0.2,651.0,0,0.55
0517210000000000010604,Chigorodó,9993.0,0.05,105.0,1.0,720.0,0.7,1930.0,0,0.35
0517210000000000010612,Chigorodó,9895.0,0.05,33.0,1.0,597.0,0.7,1994.0,0,0.35
0517210000000000020301,Chigorodó,9999.0,0.05,179.0,1.0,360.0,0.7,2232.0,0,0.35
0517210000000000020418,Chigorodó,10576.0,0.05,372.0,0.8,910.0,0.7,2552.0,0,0.35
0517210000000000020509,Chigorodó,10867.0,0.05,418.0,0.8,1122.0,0.45,2806.0,0,0.35
0517210000000000040113,Chigorodó,9277.0,0.05,21.0,1.0,210.0,0.9,2062.0,0,0.35
0517210000000000050126,Chigorodó,9646.0,0.05,237.0,1.0,83.0,1.0,1896.0,0,0.35
0517210000000000060111,Chigorodó,10063.0,0.05,88.0,1.0,398.0,0.7,2021.0,0,0.35
0517210000000000060123,Chigorodó,10093.0,0.05,206.0,1.0,209.0,0.9,1936.0,0,0.35
0517210000000000060126,Chigorodó,10080.0,0.05,143.0,1.0,147.0,0.9,1894.0,0,0.35
0517210000000000060435,Chigorodó,10514.0,0.05,3.0,1.0,706.0,0.7,2452.0,0,0.35
0517210000000000060909,Chigorodó,10792.0,0.05,277.0,1.0,909.0,0.7,2680.0,0,0.35
0549020030200400010110,Necoclí,14538.0,0.05,14538.0,0.05,64343.0,0.05,62875.0,0,0.15
0565910000000000010228,San Juan de Urabá,404.0,0.85,404.0,0.8,73081.0,0.05,74037.0,0,0.15
0565910000000000010501,San Juan de Urabá,285.0,0.85,285.0,1.0,74162.0,0.05,75279.0,0,0.15
0566510000000000020117,San Pedro de Urabá,560.0,0.7,528.0,0.8,29365.0,0.05,38890.0,0,0.15
0583720110201800010315,Turbo,14211.0,0.05,3102.0,0.15,12089.0,0.05,13149.0,0,0.15
0514710000000000020618,Carepa,435.0,0.85,121.0,1.0,586.0,0.7,1826.0,0,0.35
0549020090501500010114,Necoclí,28609.0,0.05,139.0,1.0,38620.0,0.05,40734.0,0,0.15
0505110000000000010810,Arboletes,75.0,1.0,721.0,0.6,84966.0,0.05,87785.0,0,0.15
0505110000000000010812,Arboletes,125.0,1.0,788.0,0.6,84987.0,0.05,87818.0,0,0.15
0505110000000000011029,Arboletes,361.0,0.85,537.0,0.8,84397.0,0.05,87046.0,0,0.15
0505120030200800010108,Arboletes,17125.0,0.05,14192.0,0.05,57846.0,0.05,61233.0,0,0.15
0514720010601300010101,Carepa,4452.0,0.25,4452.0,0.15,682.0,0.7,221.0,0,0.55
0549010000000000010126,Necoclí,37567.0,0.05,205.0,1.0,37824.0,0.05,33955.0,0,0.15
0566510000000000010841,San Pedro de Urabá,270.0,0.85,270.0,1.0,29299.0,0.05,38714.0,0,0.15
0566520040200800010104,San Pedro de Urabá,20168.0,0.05,1698.0,0.35,45925.0,0.05,53834.0,0,0.15
0583720090700100010142,Turbo,196.0,1.0,516.0,0.8,487.0,0.7,956.0,0,0.55
0583720090700100020312,Turbo,773.0,0.7,598.0,0.8,257.0,0.9,1067.0,0,0.35
0583720090700100020369,Turbo,880.0,0.7,853.0,0.6,653.0,0.7,1465.0,0,0.35
0583720050200500010118,Turbo,9628.0,0.05,179.0,1.0,19934.0,0.05,29322.0,0,0.15
0583720050200500010126,Turbo,9396.0,0.05,199.0,1.0,20205.0,0.05,29552.0,0,0.15
0583720030700600010104,Turbo,15488.0,0.05,35.0,1.0,15743.0,0.05,11890.0,0,0.15
0504520020300900010313,Apartadó,5476.0,0.05,854.0,0.6,399.0,0.7,1355.0,0,0.35
0504520010101400010111,Apartadó,11089.0,0.05,43.0,1.0,3914.0,0.2,1015.0,0,0.35
0505110000000000010315,Arboletes,208.0,0.85,198.0,1.0,84644.0,0.05,87343.0,0,0.15
0505110000000000010323,Arboletes,545.0,0.7,534.0,0.8,84345.0,0.05,87083.0,0,0.15
0505120030200900010101,Arboletes,14861.0,0.05,14861.0,0.05,58403.0,0.05,60727.0,0,0.15
0505120030101100010120,Arboletes,14549.0,0.05,14549.0,0.05,62755.0,0.05,66380.0,0,0.15
0514710000000000010607,Carepa,872.0,0.7,238.0,1.0,656.0,0.7,1228.0,0,0.35
0514710000000000020701,Carepa,350.0,0.85,149.0,1.0,488.0,0.7,1871.0,0,0.35
0517220100400700010110,Chigorodó,22264.0,0.05,214.0,1.0,6294.0,0.2,13905.0,0,0.15
0549010000000000010232,Necoclí,36713.0,0.05,160.0,1.0,36969.0,0.05,33101.0,0,0.15
0549010000000000010410,Necoclí,36874.0,0.05,243.0,1.0,37131.0,0.05,33259.0,0,0.15
0549010000000000010914,Necoclí,38412.0,0.05,692.0,0.8,38674.0,0.05,34788.0,0,0.15
0549020120600100010313,Necoclí,25759.0,0.05,1070.0,0.6,26028.0,0.05,22121.0,0,0.15
0549020120600600010116,Necoclí,30212.0,0.05,572.0,0.8,30483.0,0.05,26570.0,0,0.15
0549020120301000010108,Necoclí,31416.0,0.05,184.0,1.0,34000.0,0.05,33530.0,0,0.15
0566510000000000010122,San Pedro de Urabá,301.0,0.85,179.0,1.0,29921.0,0.05,39432.0,0,0.15
0566510000000000010345,San Pedro de Urabá,456.0,0.85,243.0,1.0,29194.0,0.05,38660.0,0,0.15
0583720090600300010340,Turbo,6845.0,0.05,830.0,0.6,215.0,0.9,3413.0,0,0.15
0583720090700100020116,Turbo,559.0,0.7,273.0,1.0,40.0,1.0,774.0,0,0.55
0583720090700100020218,Turbo,419.0,0.85,127.0,1.0,132.0,0.9,931.0,0,0.55
0583720100700200010209,Turbo,9963.0,0.05,132.0,1.0,342.0,0.7,906.0,0,0.55
0583720100700200010401,Turbo,9947.0,0.05,99.0,1.0,170.0,0.9,1081.0,0,0.35
0583720100700200020311,Turbo,9552.0,0.05,343.0,0.8,363.0,0.7,887.0,0,0.55
0583720070201200010112,Turbo,17995.0,0.05,6.0,1.0,12375.0,0.05,21095.0,0,0.15
0583720020101300010108,Turbo,15517.0,0.05,113.0,1.0,31363.0,0.05,38279.0,0,0.15
0583720020101300010209,Turbo,15288.0,0.05,184.0,1.0,31164.0,0.05,38120.0,0,0.15
0583720090302500010104,Turbo,2385.0,0.25,856.0,0.6,2420.0,0.45,2626.0,0,0.35
0583720090602600010107,Turbo,4684.0,0.25,68.0,1.0,276.0,0.9,2224.0,0,0.35
0583720030803200010102,Turbo,12949.0,0.05,816.0,0.6,13210.0,0.05,9332.0,0,0.15
